City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,marechal floriano,-20.4128,-40.6831,20.14,98,21,1.42,BR,11/05/2024
1,baker city,44.7749,-117.8344,14.25,83,0,1.54,US,11/05/2024
2,adamstown,-25.066,-130.1015,21.81,79,99,5.63,PN,11/05/2024
3,grytviken,-54.2811,-36.5092,-3.06,83,67,4.83,GS,11/05/2024
4,tolanaro,-25.0319,46.9987,26.86,61,0,6.57,MG,11/05/2024
5,pingyi,35.5006,117.6308,24.73,16,100,3.2,CN,11/05/2024
6,beau vallon,-20.4189,57.6953,26.23,73,75,5.66,MU,11/05/2024
7,atherton,53.5237,-2.4935,21.14,63,85,1.34,GB,11/05/2024
8,kodiak,57.79,-152.4072,3.73,93,100,3.09,US,11/05/2024
9,ilulissat,69.2167,-51.1,-2.99,68,20,0.0,GL,11/05/2024
10,bilibino,68.0546,166.4372,0.25,78,100,1.17,RU,11/05/2024
11,puerto natales,-51.7236,-72.4875,-2.02,93,27,2.08,CL,11/05/2024
12,college,64.8569,-147.8028,6.2,49,75,3.09,US,11/05/2024
13,aginskoye,51.1,114.53,13.56,31,50,7.34,RU,11/05/2024
14,iqaluit,63.7506,-68.5145,-0.15,86,100,4.63,CA,11/05/2024
15,puerto ayora,-0.7393,-90.3518,22.53,96,99,2.47,EC,11/05/2024
16,irondale,33.5382,-86.7072,13.97,91,0,1.54,US,11/05/2024
17,olonkinbyen,70.9221,-8.7187,-0.66,76,61,4.29,SJ,11/05/2024
18,bethel,41.3712,-73.414,7.05,89,100,0.0,US,11/05/2024
19,badger,64.8,-147.5333,6.15,55,0,3.09,US,11/05/2024
20,port mathurin,-19.6833,63.4167,25.48,79,94,11.14,MU,11/05/2024
21,kimberley,-28.7323,24.7623,21.83,23,0,1.03,ZA,11/05/2024
22,port-aux-francais,-49.35,70.2167,5.07,76,84,11.67,TF,11/05/2024
23,west island,-12.1568,96.8225,28.99,84,40,6.69,CC,11/05/2024
24,blackmans bay,-43.0167,147.3167,10.29,92,42,0.45,AU,11/05/2024
25,mount pearl,47.5166,-52.7813,0.74,96,100,6.17,CA,11/05/2024
26,phek,25.6667,94.5,16.51,86,98,0.7,IN,11/05/2024
27,longyearbyen,78.2186,15.6401,1.91,64,40,7.72,SJ,11/05/2024
28,sitka,57.0531,-135.33,6.94,76,75,0.0,US,11/05/2024
29,lambarene,-0.7001,10.2406,28.9,75,91,1.39,GA,11/05/2024
30,queenstown,-31.8976,26.8753,16.88,44,8,1.1,ZA,11/05/2024
31,tura,25.5198,90.2201,31.19,46,62,2.06,IN,11/05/2024
32,margaret river,-33.95,115.0667,17.81,57,0,2.07,AU,11/05/2024
33,gadzhiyevo,69.2551,33.3362,0.32,91,100,5.77,RU,11/05/2024
34,bardai,11.65,7.2333,33.74,38,52,4.29,NG,11/05/2024
35,el porvenir,13.7617,-87.3458,24.63,88,100,0.39,HN,11/05/2024
36,la'ie,21.6477,-157.9253,23.98,88,7,1.79,US,11/05/2024
37,afaahiti,-17.75,-149.2833,23.93,84,15,6.21,PF,11/05/2024
